# 1146
radius mass density pressure H He CO Fe
13123836.549890568 1.0734667687619954e+32 10337679739.644062 9.311237268671856e+27 3.323442457131489e-07 0.00040558189942168846 0.06795698963406036 0.9313882820523106
13557090.111600444 1.1720271173107148e+32 10171153948.250164 9.122521717210285e+27 3.554688314943537e-07 0.00042431728424883867 0.06877711637446839 0.9305426974321193
13972043.425655724 1.270929131549746e+32 10010091603.11576 8.940957979362467e+27 3.8143431685001554e-07 0.00044491545883323924 0.06956122916522006 0.9297305768518817
14371070.87804985 1.3701726938899964e+32 9854302014.16177 8.765833529040753e+27 4.065006238787381e-07 0.00046421152389720656 0.07015869761972816 0.9291075156661075
14756120.628861433 1.469757677359298e+32 9702968371.627533 8.596569356505341e+27 4.3412670781113066e-07 0.0004848327515047614 0.07081233321447188 0.9284265220348675
15128805.105000434 1.5696839455751076e+32 9555680457.878231 8.432669242611624e+27 4.651001656988334e-07 0.0005074053601609234 0.071476747636814 0.9277319193853923
15490463.988967462 1.6699513527174812e+32 9412412222.111418 8.273703985538878e+27 4.956688328691049e-07 0.0005290480645248368 0.07198453727408072 0.9271958228020013
15842247.437483037 1.7705597435026494e+32 9272454746.211864 8.119315076762787e+27 5.31634428257696e-07 0.0005540931456255128 0.07251745449763337 0.9266296477122296
16185119.43647924 1.871508953156777e+32 9136123687.065777 7.969174480959095e+27 5.648499490024531e-07 0.0005764731255495746 0.07284609664961544 0.9262723816822267
16519929.961103624 1.972798807390415e+32 9002687637.152683 7.823011857803542e+27 6.029615956698695e-07 0.0006017303681292705 0.07318008284872146 0.9259056633904261
16847410.78549784 2.074429122373088e+32 8872180877.925814 7.68057814419093e+27 6.41902448234481e-07 0.0006263308519376013 0.07358968777073745 0.9254643643022997
17168207.538115516 2.1763997047083007e+32 8744308042.824968 7.54165512786667e+27 6.845936764259168e-07 0.0006526267305609284 0.07400450541086395 0.9250158931266561
17482885.65945991 2.278710351409235e+32 8619033893.383545 7.406044910295092e+27 7.29131529191083e-07 0.0006793980563147672 0.07433321729647956 0.9246529433801737
17791948.60454138 2.3813608498747213e+32 8496169627.910083 7.273571295312877e+27 7.764741302190767e-07 0.0007072198364024344 0.07460276171238749 0.9243481903200309
18095845.60671767 2.4843509778655343e+32 8375589753.650582 7.144076457615142e+27 8.271502338440528e-07 0.0007363399429815221 0.07482788325670221 0.9240863649354575
18394978.265341084 2.5876805034811526e+32 8257216401.389005 7.01741425117055e+27 8.802454155919763e-07 0.0007661391489011023 0.07498645724312354 0.9238905083815344
