# 1000
radius mass density pressure H He CO Fe
8132749562.543911 1.5571400342814781e+32 1229.5964511259356 6.147982255629677e+20 1e-10 1.0 1e-10 1e-10
8285608014.979826 1.5967179211424658e+32 1206.9120313102749 6.034560156551374e+20 1e-10 1.0 1e-10 1e-10
8439459964.286064 1.6369372003035433e+32 1184.9099400101186 5.924549700050593e+20 1e-10 1.0 1e-10 1e-10
8594311867.65237 1.6778070503245715e+32 1163.5602889439488 5.817801444719744e+20 1e-10 1.0 1e-10 1e-10
8750170224.236712 1.7193367747554115e+32 1142.8349099199736 5.714174549599868e+20 1e-10 1.0 1e-10 1e-10
8907041575.438051 1.761535803800322e+32 1122.7072328455133 5.613536164227567e+20 1e-10 1.0 1e-10 1e-10
9064932505.17089 1.8044136960042974e+32 1103.1521739732445 5.515760869866223e+20 1e-10 1.0 1e-10 1e-10
9223849640.141596 1.847980139961606e+32 1084.1460333959312 5.4207301669796564e+20 1e-10 1.0 1e-10 1e-10
9383799650.126526 1.8922449560468545e+32 1065.6664009088431 5.328332004544216e+20 1e-10 1.0 1e-10 1e-10
9544789248.251963 1.9372180981688467e+32 1047.692069453645 5.238460347268225e+20 1e-10 1.0 1e-10 1e-10
9706825191.275856 1.9829096555475382e+32 1030.2029554408414 5.151014777204207e+20 1e-10 1.0 1e-10 1e-10
9869914279.87141 2.0293298545144097e+32 1013.1800253213831 5.0659001266069157e+20 1e-10 1.0 1e-10 1e-10
10034063358.912516 2.0764890603365376e+31 99.66052278429895 4.983026139214947e+17 1.0 1e-10 1e-10 1e-10
10199279317.761017 2.1243977790646925e+31 98.04614314842821 4.9023071574214106e+17 1.0 1e-10 1e-10 1e-10
10365569090.555872 2.173066659405782e+31 96.47323666108265 4.8236618330541325e+17 1.0 1e-10 1e-10 1e-10
10532939656.504168 2.2225064946199297e+31 94.94025719424802 4.747012859712401e+17 1.0 1e-10 1e-10 1e-10
10701398040.17405 2.2727282244425545e+31 93.44573449617577 4.6722867248087885e+17 1.0 1e-10 1e-10 1e-10
10870951311.789534 2.323742937031742e+31 91.98826959288293 4.5994134796441466e+17 1.0 1e-10 1e-10 1e-10
11041606587.527256 2.375561870941259e+31 90.56653052007967 4.5283265260039834e+17 1.0 1e-10 1e-10 1e-10
11213371029.815126 2.4281964171195383e+31 89.17924835815289 4.458962417907645e+17 1.0 1e-10 1e-10 1e-10
11386251847.63295 2.481658120934981e+31 87.82521354539391 4.3912606772696954e+17 1.0 1e-10 1e-10 1e-10
11560256296.81498 2.5359586842279168e+31 86.50327244695386 4.325163622347693e+17 1.0 1e-10 1e-10 1e-10
11735391680.354446 2.5911099673895645e+31 85.2123241590686 4.26061620795343e+17 1.0 1e-10 1e-10 1e-10
11911665348.710073 2.647123991468371e+31 83.95131752994479 4.1975658764972397e+17 1.0 1e-10 1e-10 1e-10
12089084700.114567 2.7040129403040525e+31 82.71924838036108 4.135962419018054e+17 1.0 1e-10 1e-10 1e-10
12267657180.885124 2.7617891626897272e+31 81.51515690853768 4.075757845426884e+17 1.0 1e-10 1e-10 1e-10
12447390285.735964 2.8204651745625006e+31 80.33812526517674 4.016906263258837e+17 1.0 1e-10 1e-10 1e-10
12628291558.092867 2.8800536612228708e+31 79.1872752857965 3.959363764289825e+17 1.0 1e-10 1e-10 1e-10
12810368590.409786 2.9405674795833373e+31 78.06176636858278 3.903088318429139e+17 1.0 1e-10 1e-10 1e-10
12993629024.487495 3.002019660446595e+31 76.96079348697911 3.8480396743489555e+17 1.0 1e-10 1e-10 1e-10
13178080551.794327 3.064423410813693e+31 75.88358532713931 3.794179266356966e+17 1.0 1e-10 1e-10 1e-10
13363730913.78897 3.1277921162225666e+31 74.82940254118552 3.7414701270592755e+17 1.0 1e-10 1e-10 1e-10
13550587902.245398 3.1921393431173278e+31 73.797536107957 3.68987680539785e+17 1.0 1e-10 1e-10 1e-10
13738659359.579868 3.2574788412487073e+31 72.78730579361131 3.639365289680566e+17 1.0 1e-10 1e-10 1e-10
13927953179.180092 3.3238245461060983e+31 71.79805870505287 3.589902935252643e+17 1.0 1e-10 1e-10 1e-10
14118477305.736506 3.391190581381554e+31 70.82916792972341 3.54145839648617e+17 1.0 1e-10 1e-10 1e-10
14310239735.575718 3.4595912614662123e+31 69.88003125579843 3.494001562789921e+17 1.0 1e-10 1e-10 1e-10
14503248516.996113 3.529041093979542e+31 68.95006996729848 3.4475034983649235e+17 1.0 1e-10 1e-10 1e-10
14697511750.605644 3.5995547823318464e+31 68.03872770904862 3.401936385452431e+17 1.0 1e-10 1e-10 1e-10
14893037589.661812 3.6711472283204643e+31 67.14546941680739 3.357273470840369e+17 1.0 1e-10 1e-10 1e-10
15089834240.41386 3.743833534760111e+31 66.26978030824105 3.3134890154120525e+17 1.0 1e-10 1e-10 1e-10
15287909962.44719 3.8176290081477893e+31 65.41116493074416 3.270558246537208e+17 1.0 1e-10 1e-10 1e-10
15487273069.030025 3.892549161362761e+31 64.56914626240463 3.228457313120232e+17 1.0 1e-10 1e-10 1e-10
15687931927.46231 3.9686097164019787e+31 63.74326486268483 3.187163243134241e+17 1.0 1e-10 1e-10 1e-10
15889894959.426899 4.0458266071515087e+31 62.93307806964048 3.1466539034820243e+17 1.0 1e-10 1e-10 1e-10
16093170641.342995 4.124215982194364e+31 62.13815924072925 3.106907962036463e+17 1.0 1e-10 1e-10 1e-10
16297767504.721928 4.2037942076552545e+31 61.35809703447244 3.0679048517236224e+17 1.0 1e-10 1e-10 1e-10
16503694136.525215 4.284577870082723e+31 60.592494730428015 3.029624736521401e+17 1.0 1e-10 1e-10 1e-10
16710959179.524958 4.3665837793691645e+31 59.84096958511192 2.992048479255596e+17 1.0 1e-10 1e-10 1e-10
16919571332.666573 4.449828971709211e+31 59.10315222167021 2.9551576110835104e+17 1.0 1e-10 1e-10 1e-10
17129539351.433903 4.5343307125970165e+31 58.37868605125628 2.918934302562814e+17 1.0 1e-10 1e-10 1e-10
17340872048.216675 4.620106499862903e+31 57.667226724208454 2.883361336210423e+17 1.0 1e-10 1e-10 1e-10
17553578292.68035 4.7071740667499185e+31 56.96844160925234 2.848422080462617e+17 1.0 1e-10 1e-10 1e-10
17767667012.138412 4.7955513850308365e+31 56.28200929907262 2.814100464953631e+17 1.0 1e-10 1e-10 1e-10
17983147191.927025 4.885256668166087e+31 55.60761914070964 2.780380957035482e+17 1.0 1e-10 1e-10 1e-10
18200027875.78214 4.976308374503182e+31 54.94497078933872 2.747248539466936e+17 1.0 1e-10 1e-10 1e-10
18418318166.219093 5.068725210518182e+31 54.29377378408485 2.7146886892042426e+17 1.0 1e-10 1e-10 1e-10
18638027224.914627 5.162526134099755e+31 53.65374714461394 2.682687357230697e+17 1.0 1e-10 1e-10 1e-10
18859164273.091393 5.257730357876338e+31 53.024618987322704 2.651230949366135e+17 1.0 1e-10 1e-10 1e-10
19081738591.904976 5.354357352587055e+31 52.40612616002553 2.6203063080012765e+17 1.0 1e-10 1e-10 1e-10
19305759522.833443 5.452426850496866e+31 51.79801389410621 2.5899006947053107e+17 1.0 1e-10 1e-10 1e-10
19531236468.06938 5.551958848856616e+31 51.20003547316877 2.5600017736584384e+17 1.0 1e-10 1e-10 1e-10
19758178890.914516 5.652973613408486e+31 50.611951917280905 2.530597595864045e+17 1.0 1e-10 1e-10 1e-10
19986596316.176903 5.755491681937512e+31 50.033531681960895 2.5016765840980448e+17 1.0 1e-10 1e-10 1e-10
20216498330.57067 5.859533867869739e+31 49.464550371111265 2.4732275185555632e+17 1.0 1e-10 1e-10 1e-10
20447894583.11837 5.9651212639176175e+31 48.90479046315079 2.4452395231575395e+17 1.0 1e-10 1e-10 1e-10
20680794785.55597 6.072275245773278e+31 48.354041049642206 2.4177020524821104e+17 1.0 1e-10 1e-10 1e-10
20915208712.740425 6.181017475850301e+31 47.81209758575603 2.3906048792878013e+17 1.0 1e-10 1e-10 1e-10
21151146203.059975 6.2913699070746185e+31 47.27876165194906 2.363938082597453e+17 1.0 1e-10 1e-10 1e-10
21388617158.84701 6.40335478672518e+31 46.75384072627473 2.3376920363137366e+17 1.0 1e-10 1e-10 1e-10
21627631546.79372 6.516994660325067e+31 46.23714796677536 2.311857398338768e+17 1.0 1e-10 1e-10 1e-10
21868199398.370365 6.632312375583659e+31 45.728502003439786 2.2864251001719894e+17 1.0 1e-10 1e-10 1e-10
22110330810.246315 6.749331086390581e+31 45.227726739239124 2.2613863369619562e+17 1.0 1e-10 1e-10 1e-10
22354035944.7138 6.86807425686207e+31 44.734651159782004 2.2367325579891e+17 1.0 1e-10 1e-10 1e-10
22599325030.114426 6.9885656654404615e+31 44.24910915115665 2.2124554575578326e+17 1.0 1e-10 1e-10 1e-10
22846208361.26848 7.110829409047487e+31 43.77093932555194 2.188546966277597e+17 1.0 1e-10 1e-10 1e-10
23094696299.90695 7.234889907292062e+31 43.29998485427275 2.1649992427136374e+17 1.0 1e-10 1e-10 1e-10
23344799275.106483 7.360771906733369e+31 42.83609330778615 2.1418046653893075e+17 1.0 1e-10 1e-10 1e-10
23596527783.727028 7.488500485199819e+31 42.37911650245567 2.1189558251227837e+17 1.0 1e-10 1e-10 1e-10
23849892390.852436 7.618101056164722e+31 41.92891035363947 2.0964455176819738e+17 1.0 1e-10 1e-10 1e-10
24104903730.233852 7.749599373179414e+31 41.48533473484644 2.074266736742322e+17 1.0 1e-10 1e-10 1e-10
24361572504.73603 7.8830215343645085e+31 41.04825334266062 2.052412667133031e+17 1.0 1e-10 1e-10 1e-10
24619909486.786526 8.018393986960119e+31 40.6175335671603 2.030876678358015e+17 1.0 1e-10 1e-10 1e-10
24879925518.82782 8.155743531935772e+31 40.19304636757262 2.009652318378631e+17 1.0 1e-10 1e-10 1e-10
25141631513.772377 8.29509732866084e+31 39.77466615291884 1.988733307645942e+17 1.0 1e-10 1e-10 1e-10
25405038455.460663 8.436482899636203e+31 39.36227066741778 1.968113533370889e+17 1.0 1e-10 1e-10 1e-10
25670157399.12214 8.57992813528803e+31 38.95574088042786 1.947787044021393e+17 1.0 1e-10 1e-10 1e-10
25936999471.83924 8.725461298824466e+31 38.554960880719335 1.9277480440359667e+17 1.0 1e-10 1e-10 1e-10
26205575873.014404 8.873111031155984e+31 38.15981777487917 1.9079908887439587e+17 1.0 1e-10 1e-10 1e-10
